rank,company,primary_domain,alt_domain,domain_confidence,in_hubspot,hs_matched_domain,hs_lifecycle,vertical,vertical_group,industry_tier,segments,revenue_band,hq,ownership,tier,wave,fit_score,hold,outbound_eligible,requires_review,gate_notes,score_industry,score_revenue,score_employees,score_spend,score_volume,score_video,score_brands,score_markets,score_locations,score_sku,score_media,score_ai,score_tech,score_procurement,primary_multiplier,fit_rationale,primary_use_case,est_first_deal,target_titles,trigger_hypothesis,verification_required,reference_to_cite,notes,apollo_lists
29,GNC Holdings,gnc.com,,High,True,gnc.com,lead,Omnichannel retail,Omnichannel Retail,Tier 1,"S3, S8",$1B to $5B,"PA, US",PE backed,Tier 2 Priority,2,77,False,True,False,,12,10,3,4,8,2,8,4,5,6,3,5,2,5,"2,000+ locations including franchised stores. Extensive owned brand portfolio. High SKU count with claim heavy category",Franchise structure plus owned brand portfolio plus supplement category claim requirements creates three overlapping content problems. PE ownership creates a cost mandate. Franchisee local asset demand is permanently unmet in this model,Franchise localization portal plus owned brand PDP content,$100K to $275K,VP Marketing; VP Franchise Marketing; Head of Creative,PE ownership cost programme; marketing leadership change; franchise expansion,Franchise versus company operated split. Owned brand count. Ad fund structure. PE sponsor and hold period,"Sam's Club, SimpliSafe",Franchise plus PE plus claim governance is a strong triple stack,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail
30,Helen of Troy,helenoftroy.com,,High,True,helenoftroy.com,lead,CPG multi brand,CPG Multi-Brand,Tier 1,"S2, S7",$1B to $5B,"TX, US",Public,Tier 2 Priority,1,77,False,True,False,,12,10,3,5,10,2,8,6,0,6,3,5,2,5,"10+ brands including OXO, Hydro Flask, Osprey, Drybar, Curlsmith plus licensed Braun, Vicks and Honeywell. Very high SKU count","High brand count spanning housewares, beauty, outdoor and health, several of them licensed and requiring dual brand approval. Very high SKU count with colour and configuration variation. Public turnaround and cost mandate is explicit. The tail brands in this portfolio receive minimal creative investment",Long tail brand content plus PDP and colourway variant imagery,$125K to $300K,Head of Creative Operations; VP Brand Marketing; VP E-commerce,Turnaround or cost reduction programme; marketing leadership change; brand divestiture activity,Current brand count after divestitures. Licensed versus owned split. SKU and colourway count. Cost programme targets from investor materials,"Williams Sonoma, Quay, Panasonic",Explicit public cost mandate plus licensed brand governance,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand
31,Inspire Brands,inspirebrands.com,,High,True,inspirebrands.com,lead,QSR and franchise,"QSR, Franchise & Hospitality",Tier 1,"S8, S9",Over $10B,"GA, US",PE backed,Tier 2 Priority,1,77,False,True,False,,12,5,2,8,10,6,7,6,5,2,6,5,2,1,"Six brands: Arby's, Dunkin', Sonic, Buffalo Wild Wings, Jimmy John's, Rusty Taco. 32,000+ locations, predominantly franchised","The largest franchise multiplication problem on this list. Six brands times 32,000 locations times monthly LTO cadence times DMA level media. Roark ownership creates a value creation mandate. Franchisee local asset demand across this footprint is unmeetable by any conventional production model",Franchise localization portal plus multi brand LTO asset systems,$300K to $750K,CMO per brand; VP Field Marketing; VP Franchise Marketing,PE value creation programme; brand level marketing leadership changes; franchisee marketing technology investment,"Whether marketing is centralized or per brand. Ad fund structure per brand. Existing franchisee portal. Enter at brand level, not holdco","Sam's Club, Coca-Cola","Highest franchise ceiling on the list. Enter at one brand, expand across six","T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality"
32,Oxford Industries,oxfordinc.com,,High,True,oxfordinc.com,lead,Fashion and apparel,Fashion & Footwear,Tier 1,"S2, S7",$1B to $5B,"GA, US",Public,Tier 2 Priority,2,77,False,True,False,,12,10,3,5,8,4,7,2,4,5,5,5,2,5,"Tommy Bahama, Lilly Pulitzer, Johnny Was, Southern Tide, Duck Head. 200+ retail locations plus restaurants","Five distinct lifestyle brands with strong and different visual identities, which is exactly the condition where a shared governance layer creates value without homogenizing. Lilly Pulitzer print based design creates unusual variant volume. Tommy Bahama restaurants add a separate content system",Portfolio governance plus print and colourway variant imagery,$100K to $250K,Head of Creative Operations; VP E-commerce; VP Brand Marketing,Marketing or creative leadership change; brand acquisition; cost programme,Whether brands share any creative resources. Print and colourway count for Lilly Pulitzer. Retail and restaurant location count,"Marc Jacobs, Williams Sonoma, PacSun",Five strong distinct brands makes the governance case unusually clean,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Fashion & Footwear
33,Petco Health and Wellness,petco.com,,High,True,petco.com,lead,Omnichannel retail,Omnichannel Retail,Tier 1,"S2, S4, S6",$5B to $10B,"CA, US",Public,Tier 2 Priority,1,77,False,True,False,,12,8,3,7,10,4,5,2,5,6,5,5,2,3,"1,500+ locations including in store services and vet clinics. High SKU count. Owned brand portfolio. Retail media network",Retail plus services plus veterinary creates three content systems. Location count drives local asset needs. Owned brand portfolio and retail media network add two further demand streams. Turnaround context creates a cost mandate,PDP content plus local and services asset systems,$150K to $350K,VP E-commerce; VP Retail Media; Head of Creative Operations,Turnaround or cost programme; marketing leadership change; retail media expansion,Owned brand count. Retail media scale. Cost programme targets. Whether services marketing is separate,"Sam's Club, Amazon",,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Omnichannel Retail
34,The J.M. Smucker Company,jmsmucker.com,,High,True,jmsmucker.com,lead,CPG multi brand,CPG Multi-Brand,Tier 1,"S2, S7",$5B to $10B,"OH, US",Public,Tier 2 Priority,2,77,False,True,False,,12,8,3,8,10,4,8,4,0,5,5,5,2,3,"Portfolio including Folgers, Jif, Smucker's, Hostess, Cafe Bustelo. Recent large acquisition integration","Post acquisition portfolios carry duplicated creative spend and inconsistent brand systems, which is the condition a governance layer resolves. Coffee and snacking categories are promotion heavy with constant retailer asset demand",Portfolio governance plus retailer asset variation,$150K to $350K,VP Brand Marketing; VP Integrated Marketing; Head of Creative Operations,Acquisition integration; synergy or cost target disclosed to investors; marketing leadership change,Whether Hostess marketing has been integrated. Synergy targets from investor materials. Advertising expense,Coca-Cola,Acquisition integration is the trigger to verify first,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand
35,Bausch + Lomb,bauschlomb.com,bausch.com,VERIFY,False,,,Consumer health and device,Consumer Health & Wellness,Tier 2,"S2, S7",$1B to $5B,NJ and Canada,Public,Tier 2 Priority,1,76,False,True,True,HQ footprint in Canada: CASL legal review before any send; CASL review flagged on the Method tab,12,10,3,7,8,4,7,7,0,5,3,5,2,3,"Contact lens, surgical and consumer eye health portfolio. 100+ markets. Regulated claims across all categories","Three business segments with very different audiences: consumer, surgical and pharmaceutical, each with regulatory review requirements. 100+ market footprint is a major localization multiplier. Regulated claim governance is a paid feature here",Localization plus regulated claim governance,$150K to $400K,VP Global Marketing; Head of Creative Operations; VP Consumer Marketing,Marketing leadership change; portfolio separation activity; cost programme; product launches,Market and language count. Whether consumer marketing is separate from surgical. Regulatory review process and duration,"SimpliSafe, Panasonic",Regulatory review adds 4 to 8 weeks. Price and forecast it in,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Consumer Health & Wellness
36,Boot Barn Holdings,bootbarn.com,,High,True,bootbarn.com,lead,Omnichannel retail,Omnichannel Retail,Tier 1,"S3, S4",$1B to $5B,"CA, US",Public,Tier 2 Priority,2,76,False,True,False,,12,10,3,4,8,4,7,2,4,5,5,5,2,5,450+ stores with strong expansion. Exclusive brand portfolio at 35%+ of sales. High SKU count with size and width variation,Exclusive brand portfolio means Boot Barn must market owned brands like a CPG company while running a retailer content operation. Footwear size and width variation multiplies imagery requirements. Store expansion adds local assets,Owned brand content plus PDP and variant imagery,$100K to $250K,VP E-commerce; VP Marketing; Head of Creative,Exclusive brand expansion; store growth programme; marketing leadership change,Exclusive brand count. SKU and variant count. Content coverage. Creative team size,"PacSun, Williams Sonoma",Exclusive brand portfolio is the clearest wedge,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail
37,Kenvue,kenvue.com,,High,True,kenvue.com,lead,Beauty and personal care,Beauty & Personal Care,Tier 1,"S2, S7",Over $10B,"NJ, US",Public,Tier 2 Priority,1,76,False,True,False,,12,5,2,8,10,4,8,7,0,6,6,5,2,1,"Neutrogena, Aveeno, Listerine, Tylenol, Band-Aid, Zyrtec and 20+ more. Global footprint across 100+ markets","Very high brand count spanning skin health, oral care and OTC, each with different regulatory requirements. 100+ market footprint. Recent spinoff means brand systems and creative operations are still being rebuilt independently, which is a genuine window. Claim governance is a paid feature in OTC",Portfolio governance plus localization and compliance,$200K to $500K,Head of Creative Operations; VP Global Brand; VP Digital,Post spinoff operating model build; cost programme; marketing leadership changes; activist pressure,Brand count. Whether creative operations are centralized post spinoff. Cost programme targets. Which brands hold discretionary budget,"Sephora and LVMH, Panasonic",Post spinoff rebuild is a real window. Enter at brand or region level,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Beauty & Personal Care
38,Molson Coors,molsoncoors.com,,High,True,molsoncoors.com,lead,CPG multi brand,CPG Multi-Brand,Tier 1,"S2, S7",Over $10B,"CO, US",Public,Tier 2 Priority,2,76,False,True,False,,12,5,2,8,10,6,8,6,0,5,6,5,2,1,"Multi brand beer portfolio plus emerging beverage brands. US, Canada, UK and EMEA operations",Beer portfolio has a small number of megabrands and a long tail of regional and craft labels with minimal creative support. Sports and seasonal calendar creates predictable volume spikes. Multi country footprint adds a language multiplier,Long tail brand content plus seasonal campaign systems,$200K to $450K,VP Brand Marketing; VP Digital; Head of Creative Operations,Efficiency mandate on earnings calls; marketing leadership change; beyond beer portfolio expansion,Brand count. Whether US and UK marketing operate separately. Advertising expense from 10-K,"Svedka, Coca-Cola, BMW",UK entity may be a lighter procurement path than US,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand
39,Papa John's International,papajohns.com,,High,True,papajohns.com,lead,QSR and franchise,"QSR, Franchise & Hospitality",Tier 1,S8,$1B to $5B,"GA, US",Public,Tier 2 Priority,1,76,False,True,False,,12,10,3,7,10,4,1,7,5,2,5,5,2,3,"5,900+ locations across 45+ countries, predominantly franchised. Heavy promotional and LTO cadence","45+ country footprint plus 5,900 locations plus near constant promotional cadence is a three way multiplier. Turnaround context creates a cost mandate. International franchise localization is a genuine and expensive problem in this model",Franchise localization portal plus international asset localization,$200K to $450K,CMO; VP International Marketing; VP Field Marketing,Turnaround or cost programme; marketing leadership change; international expansion; franchisee relations,Ad fund structure domestically and internationally. Country and language count. Existing localization process,"Sam's Club, Coca-Cola",45+ countries plus franchise is the strongest localization stack in QSR,"T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality"
40,Beiersdorf North America,beiersdorfusa.com,beiersdorf.com,VERIFY,True,beiersdorfusa.com,lead,Beauty and personal care,Beauty & Personal Care,Tier 1,"S2, S7",$1B to $5B,"CT, US",Subsidiary,Tier 2 Priority,1,75,False,True,False,,12,10,3,7,8,4,7,4,0,5,5,5,2,3,"Nivea, Coppertone, Eucerin, Aquaphor, La Prairie in the Americas. Regional P&L within a global parent",Americas division of a global parent is the best of both structures: global brand multiplier with a local buying centre and lighter procurement than global HQ. Sun care and derma categories are claim heavy. Multiple brands with different positioning under one regional team,Regional asset localization plus portfolio governance,$125K to $300K,VP Marketing Americas; Head of Creative; VP Digital,Regional leadership change; brand relaunch activity; US market investment programme,Regional P&L autonomy and creative decision authority. Brand count in the Americas. Whether creative comes from Hamburg or is produced locally,"Sephora and LVMH, Panasonic, BMW",Regional division entry. Confirm local budget authority first,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Beauty & Personal Care
41,Chobani,chobani.com,,High,True,chobani.com,lead,CPG multi brand,CPG Multi-Brand,Tier 1,"S3, S7",$1B to $5B,"NY, US",Private,Tier 2 Priority,1,75,False,True,False,,12,10,3,7,10,4,5,2,0,5,5,5,2,5,"Yogurt, coffee, creamer and oat portfolio. High SKU and flavour count. Private, founder led","Category expansion from yogurt into coffee, creamers and oat has multiplied SKU and creative requirements faster than a private company marketing team typically scales. Private ownership means fewer procurement layers and a faster decision if the right person is reached",Flavour and SKU variant content plus social volume,$100K to $275K,VP Brand Marketing; Head of Creative; VP Digital,New category launch; marketing leadership change; capacity hiring; IPO preparation activity,SKU count across categories. Marketing headcount. Whether creative is agency led. Private company financials require estimation,"Coca-Cola, Quay",Private. Financials are estimates. Confirm before scoping,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand
42,Constellation Brands,cbrands.com,,High,True,cbrands.com,lead,CPG multi brand,CPG Multi-Brand,Tier 1,"S2, S7",Over $10B,"NY, US",Public,Tier 2 Priority,1,75,False,True,False,,12,5,3,8,10,4,8,6,0,6,5,5,2,1,"Beer, wine and spirits portfolio with 100+ brands and labels. Multi state regulatory variation",Highest label and SKU count in beverage alcohol on this list. Wine portfolio in particular carries hundreds of labels that receive almost no creative investment. Alcohol marketing codes create a governance requirement that raw AI tools cannot satisfy,Long tail brand and label content plus compliance governance,$200K to $500K,VP Brand Marketing; VP Digital; Head of Creative Operations,Portfolio review or divestiture activity; marketing leadership change; DTC or e-commerce expansion,Label count in the wine and spirits division. Advertising expense. Which division holds discretionary creative budget,"Svedka, Coca-Cola",Alcohol compliance adds governance value. Price it in,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand
43,Dick's Sporting Goods,dickssportinggoods.com,,High,False,,,Omnichannel retail,Omnichannel Retail,Tier 1,"S2, S4, S6",Over $10B,"PA, US",Public,Tier 2 Priority,1,75,False,True,False,,12,5,2,8,10,6,5,2,5,6,6,5,2,1,"850+ stores across multiple banners, 100,000+ SKUs, operates a retail media network, growing private label portfolio",Multi banner structure plus vendor brand assets plus private label brands plus retail media advertiser creative creates four distinct content demand streams. House of Sport format expansion adds experiential asset needs,Retail media creative services plus PDP content,$200K to $500K,VP Retail Media; VP E-commerce; Head of Creative Operations,Retail media expansion; House of Sport rollout; digital or marketing leadership change,Retail media network scale and advertiser creative attach rate. Private label brand count. Banner count,"Sam's Club, Amazon, PacSun",Note: sports league and athlete likeness content is off limits,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Omnichannel Retail
44,Energizer Holdings,energizerholdings.com,energizer.com,High,True,energizerholdings.com,lead,CPG multi brand,CPG Multi-Brand,Tier 1,"S3, S7",$1B to $5B,"MO, US",Public,Tier 2 Priority,1,75,False,True,False,,12,10,3,5,8,2,7,7,0,6,3,5,2,5,"Energizer, Rayovac plus auto care brands Armor All, STP, A/C Pro. Global distribution in 50+ markets","Two very different category groups under one parent with heavy SKU variation and genuinely global market coverage. Auto care in particular is a high SKU, low creative investment portfolio. 50+ market footprint is a strong localization multiplier at mid market budget",Localization plus PDP and SKU content,$100K to $275K,VP Brand Marketing; VP Global Marketing; Head of Creative Operations,Marketing leadership change; cost or margin programme; international expansion,Market and language count. Whether auto care marketing is separate from batteries. SKU count,"Panasonic, BMW",50+ market footprint is the standout signal,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand
45,RH,rh.com,,High,False,,,Omnichannel retail,Omnichannel Retail,Tier 1,"S3, S4",$1B to $5B,"CA, US",Public,Tier 2 Priority,2,75,False,True,False,,12,10,3,7,8,4,3,4,4,5,3,5,2,5,Luxury home furnishings with multiple collections and galleries. Very high production value imagery standard. International expansion underway,"Brand is built on photography quality, which is normally a reason to avoid AI content, but the volume requirement across sourcebooks, galleries and digital is enormous and the European expansion multiplies it. Lifestyle context generation is the wedge, not product replacement",Lifestyle and contextual imagery at volume plus localization,$125K to $300K,VP Creative; Head of Creative Operations; VP E-commerce,European expansion; marketing or creative leadership change; cost programme,European market count. Sourcebook production volume and cost. Whether creative is fully in house,"Williams Sonoma, Marc Jacobs, BMW",Craft objection will be strong. Lead with lifestyle context only,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail
46,Shiseido Americas,shiseido.com,shiseidoamericas.com,VERIFY,True,shiseido.com,lead,Beauty and personal care,Beauty & Personal Care,Tier 1,"S2, S7",$1B to $5B,"NY, US",Subsidiary,Tier 2 Priority,1,75,False,True,False,,12,10,3,7,8,4,7,4,0,5,5,5,2,3,"Shiseido, NARS, Drunk Elephant, Clé de Peau, Dior beauty licence in the Americas region",Americas division with several brands at very different price tiers and audiences. NARS and Drunk Elephant have high social cadence requirements. Regional structure means a local buying centre. Turnaround context in the Americas creates a mandate,Portfolio governance plus social and shade variant content,$125K to $300K,VP Marketing Americas; Head of Creative; VP Digital and E-commerce,Americas turnaround or restructuring; regional leadership change; brand investment shifts,Regional creative decision authority. Brand count in the Americas. Whether brands share creative resources. Restructuring scope,"Sephora and LVMH, Marc Jacobs, Quay",Americas turnaround is the trigger to verify,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Beauty & Personal Care
47,Whirlpool Corporation,whirlpool.com,whirlpoolcorp.com,High,True,whirlpool.com,lead,Consumer electronics and appliances,Mobility & Devices,Tier 2,"S2, S7",Over $10B,"MI, US",Public,Tier 2 Priority,1,75,False,True,False,,12,5,2,8,10,4,8,7,0,6,5,5,2,1,"Whirlpool, KitchenAid, Maytag, JennAir, Amana, Consul, Brastemp. Very high SKU count. Global footprint","High brand count times very high SKU count times finish and configuration variation times global markets. Appliance PDP content across finishes and configurations is a combinatorial imagery problem. Cost pressure is public and severe, which creates a genuine mandate",PDP and configuration variant imagery plus localization,$200K to $500K,Head of Creative Operations; VP Brand Marketing; VP Digital and E-commerce,Cost reduction programme; marketing leadership change; portfolio or regional restructuring,SKU and finish variant count. Brand count. Whether creative is centralized. Cost programme targets from investor materials,"Panasonic, BMW, Williams Sonoma",Public cost mandate plus configuration combinatorics. Strong stack,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Mobility & Devices
48,Wingstop,wingstop.com,,High,True,wingstop.com,opportunity,QSR and franchise,"QSR, Franchise & Hospitality",Tier 1,S8,$500M to $1B,"TX, US",Public,Tier 2 Priority,1,75,True,True,True,HOLD: conflict check must be cleared with Sam before outreach,12,9,3,7,8,6,1,4,5,2,6,5,2,5,"2,500+ locations, 98% franchised, aggressive unit growth, international expansion, monthly promotional cadence","Very high franchise percentage plus rapid unit growth plus international expansion. Marketing is sophisticated and digital led, meaning the buyer is receptive rather than needing education. Local and DMA asset demand grows with every new unit opened",Franchise localization portal plus DMA asset systems,$150K to $400K,CMO; VP Brand Marketing; VP Field Marketing,Unit growth programme; international expansion; marketing leadership change; digital investment,Ad fund structure. Existing franchisee asset process. International market count. Unit opening cadence,"Sam's Club, Coca-Cola",Sophisticated digital led marketing team. Receptive buyer | ADDED AT LIST BUILD: opportunity stage in HubSpot (active pursuit). Do not cold sequence. Release only if Sam confirms dead.,T100 | Master | All Accounts; T100 | HOLD | Conflict Review
49,Driven Brands Holdings,drivenbrands.com,,High,True,drivenbrands.com,lead,Multi unit franchise services,"QSR, Franchise & Hospitality",Tier 2,"S8, S9",$1B to $5B,"NC, US",Public,Tier 2 Priority,1,74,False,True,False,,12,10,3,5,10,2,8,4,5,2,3,5,2,3,"Take 5, Meineke, CARSTAR, Maaco, 1-800-Radiator and more. 5,000+ locations across 15+ brands, predominantly franchised","Fifteen or more brands times 5,000 locations, almost all franchised, is a franchise multiplication problem comparable to QSR but with almost no competition selling into it. Cost and portfolio rationalization programme creates a mandate. Local and DMA asset demand is structurally unmet",Multi brand franchise localization portal,$200K to $500K,CMO; VP Brand Marketing per platform; VP Franchise Marketing,Portfolio rationalization or cost programme; marketing leadership change; franchisee technology investment,Current brand count after divestitures. Whether marketing is shared across brands. Ad fund structure per brand,"Sam's Club, BMW",Very high brand count. Almost nobody is selling AI content into auto services franchise,"T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality"
50,Hain Celestial Group,hain.com,hains.com,High,True,hain.com,lead,CPG multi brand,CPG Multi-Brand,Tier 1,"S3, S7",$1B to $5B,"NJ, US",Public,Tier 2 Priority,1,74,False,True,False,,12,10,3,5,8,2,8,6,0,5,3,5,2,5,"20+ natural and organic brands including Celestial Seasonings, Terra, Garden Veggie, Earth's Best. US, UK and Europe","Very high brand count against modest revenue, which is the definition of a thin tail. Turnaround context creates a cost mandate. Multi country footprint adds localization need at mid market budget levels",Long tail brand content plus portfolio governance,$100K to $250K,VP Brand Marketing; Head of Creative Operations; VP Digital,Turnaround or cost programme disclosed to investors; marketing leadership change; brand divestiture activity,Current brand count after divestitures. Whether UK marketing is separate. Cost programme targets from investor materials,"Svedka, Goodwill",Cost mandate is likely the strongest angle,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand
51,Tractor Supply Company,tractorsupply.com,,High,True,tractorsupply.com,lead,Omnichannel retail,Omnichannel Retail,Tier 1,"S2, S4, S6",Over $10B,"TN, US",Public,Tier 2 Priority,1,74,False,True,False,,12,5,2,8,10,4,7,2,5,6,5,5,2,1,"2,300+ stores, 100,000+ SKUs, operates a retail media network, strong private label portfolio",Very high SKU count with a large private label brand portfolio that must be marketed like owned brands. Store count creates a regional asset multiplier. Retail media network creates a second creative demand stream with its own funding,PDP and SKU content at catalogue scale plus retail media creative,$200K to $500K,VP Retail Media; VP E-commerce; Head of Creative Operations,Retail media expansion; digital leadership change; private label brand expansion,Private label brand count. Retail media network scale. SKU count with content coverage gap. Creative ops leadership,"Sam's Club, Amazon, Williams Sonoma",Private label portfolio is an underrated multiplier here,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Omnichannel Retail
52,Dexcom,dexcom.com,,High,True,dexcom.com,lead,Consumer health and device,Consumer Health & Wellness,Tier 2,S2,$1B to $5B,"CA, US",Public,Tier 2 Priority,1,73,False,True,False,,12,10,3,8,8,6,1,6,0,3,6,5,2,3,Continuous glucose monitoring. Direct to consumer advertising at scale plus HCP channel. 25+ markets,"Consumer medical device with real broadcast and digital advertising budget, meaning campaign asset volume is high. Dual audience of patient and healthcare professional doubles asset requirements. Patient education content is a large and recurring need. FDA promotional review makes governance valuable",Patient education content at volume plus regulated campaign assets,$150K to $400K,VP Global Marketing; VP Consumer Marketing; Head of Creative,Product launch cycles; marketing leadership change; direct to consumer investment increase; market expansion,Market count. Whether patient and HCP creative are separate. Promotional review process duration. Advertising expense,"SimpliSafe, ResMed style device precedent, Panasonic",ResMed engagement is directly relevant precedent. Use it,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Consumer Health & Wellness
53,Hims & Hers Health,hims.com,forhers.com,High,False,,,Consumer health and wellness,Consumer Health & Wellness,Tier 2,"S2, S10",$1B to $5B,"CA, US",Public,Tier 2 Priority,1,73,False,True,False,,12,10,3,8,10,6,3,2,0,3,6,5,2,3,Telehealth and DTC pharmacy across multiple condition categories. Extremely high performance creative volume. Rapid category expansion,Performance marketing led model where creative volume is the direct growth constraint and the company measures it precisely. Condition category expansion multiplies content requirements. Regulated health claims plus advertising substantiation make governance genuinely valuable rather than optional,Performance creative at volume plus regulated claim governance,$150K to $350K,VP Growth; VP Brand Marketing; Head of Creative,Category expansion; marketing leadership change; international expansion; creative capacity hiring,Active Meta creative count. Whether creative is produced in house. Category count. Internal AI capability,"Quay, SimpliSafe",Highest performance creative volume in this segment. Bring numbers,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Consumer Health & Wellness
54,Jack in the Box Inc.,jackinthebox.com,jackintheboxinc.com,High,True,jackinthebox.com,lead,QSR and franchise,"QSR, Franchise & Hospitality",Tier 1,S8,$1B to $5B,"CA, US",Public,Tier 2 Priority,1,73,False,True,False,,12,10,3,7,10,4,3,2,5,2,5,5,2,3,"Jack in the Box and Del Taco. 2,800+ locations, predominantly franchised. Regional concentration with expansion",Two brands with heavy LTO cadence and regional price and promotion variation. High franchise percentage. Del Taco integration and potential divestiture activity creates change. Cost pressure is public and marketing efficiency is on the agenda,LTO asset systems plus franchise and DMA localization,$150K to $400K,CMO per brand; VP Field Marketing; Head of Creative,Cost or strategic review programme; Del Taco divestiture activity; marketing leadership change,Whether the two brands share creative resources. Ad fund structure. Del Taco strategic status. LTO cadence,"Sam's Club, Coca-Cola",,"T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality"
55,Panera Brands,panerabrands.com,panerabread.com,High,True,panerabread.com,lead,QSR and franchise,"QSR, Franchise & Hospitality",Tier 1,"S8, S9",$5B to $10B,"MO, US",PE backed,Tier 2 Priority,1,73,False,True,False,,12,8,3,7,10,4,5,2,5,2,5,5,2,3,"Panera Bread, Caribou Coffee, Einstein Bros Bagels. 4,000+ locations, mixed franchise and company operated","Three brands with different day parts and audiences, mixed ownership model, and a large franchise base. JAB ownership plus long standing IPO preparation creates a cost and efficiency mandate. Menu and LTO cadence is high across all three brands",Multi brand LTO asset systems plus franchise localization,$200K to $500K,CMO per brand; VP Field Marketing; Head of Creative,IPO preparation; PE cost programme; marketing leadership changes; menu innovation cadence,Whether marketing is shared across brands. Franchise versus company split. Ad fund structure. IPO timeline,"Sam's Club, Coca-Cola",IPO preparation is a strong cost mandate trigger. Verify status,"T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality"
56,The Simply Good Foods Company,simplygoodfoodscompany.com,,VERIFY,False,,,CPG multi brand,CPG Multi-Brand,Tier 1,"S3, S7",$1B to $5B,"CO, US",Public,Tier 2 Priority,1,73,False,True,False,,12,10,3,5,8,4,5,4,0,5,5,5,2,5,"Quest, Atkins and OWYN. High SKU count across bars, shakes, snacks and multiple flavour lines","Flavour and format combinatorics across three brands produce heavy PDP and retailer asset volume. Quest specifically operates at high social cadence. Category is claim heavy, so governance has real value",PDP and flavour variant content plus social volume,$100K to $250K,VP Brand Marketing; VP Digital and E-commerce; Head of Creative,New marketing leadership; SKU expansion; e-commerce growth targets,SKU count across the three brands. Whether Quest and Atkins marketing teams are separate. Meta creative count,"Quay, Svedka",,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand
57,The Vitamin Shoppe,vitaminshoppe.com,,High,True,vitaminshoppe.com,lead,Omnichannel retail,Omnichannel Retail,Tier 1,"S3, S8",$1B to $5B,"NJ, US",PE backed,Tier 2 Priority,3,73,False,True,False,,12,10,3,4,8,2,7,2,5,5,3,5,2,5,600+ locations plus e-commerce. Owned brand portfolio. Claim heavy supplement category with high SKU count,Similar structural profile to GNC with PE ownership creating a cost mandate. Owned brands require CPG style content from a retailer marketing team. Supplement claim requirements make governance a paid feature rather than an obstacle,Owned brand content plus compliance governance,$75K to $200K,VP Marketing; VP E-commerce; Head of Creative,PE cost programme; marketing leadership change; owned brand expansion,PE sponsor and hold period. Owned brand count. SKU count. Marketing team size,"SimpliSafe, Sam's Club",,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Omnichannel Retail
